Image file,Pet,Class id,Species id,Breed id
saint_bernard_188.jpg,Dog: saint bernard,29,2,19
saint_bernard_188_am.jpg,Dog: saint bernard,29,2,19
chihuahua_75.jpg,Dog: chihuahua,11,2,6
american_bulldog_60.jpg,Dog: american bulldog,2,2,1
american_bulldog_60_am.jpg,Dog: american bulldog,2,2,1
Siamese_9.jpg,Cat: siamese,33,1,11
saint_bernard_122.jpg,Dog: saint bernard,29,2,19
saint_bernard_122_am.jpg,Dog: saint bernard,29,2,19
Bombay_95.jpg,Cat: bombay,8,1,4
Bengal_167.jpg,Cat: bengal,6,1,2
Bengal_167_am.jpg,Cat: bengal,6,1,2
Birman_95.jpg,Cat: birman,7,1,3
Birman_95_am.jpg,Cat: birman,7,1,3
havanese_147.jpg,Dog: havanese,17,2,11
havanese_147_am.jpg,Dog: havanese,17,2,11
beagle_83.jpg,Dog: beagle,5,2,4
english_cocker_spaniel_198.jpg,Dog: english cocker spaniel,13,2,7
english_cocker_spaniel_198_am.jpg,Dog: english cocker spaniel,13,2,7
Siamese_250.jpg,Cat: siamese,33,1,11
Bombay_3.jpg,Cat: bombay,8,1,4
Bombay_3_am.jpg,Cat: bombay,8,1,4
boxer_52.jpg,Dog: boxer,9,2,5
boxer_52_am.jpg,Dog: boxer,9,2,5
miniature_pinscher_16.jpg,Dog: miniature pinscher,22,2,15
miniature_pinscher_16_am.jpg,Dog: miniature pinscher,22,2,15
japanese_chin_175.jpg,Dog: japanese chin,18,2,12
japanese_chin_175_am.jpg,Dog: japanese chin,18,2,12
pug_171.jpg,Dog: pug,26,2,18
pug_171_am.jpg,Dog: pug,26,2,18
samoyed_174.jpg,Dog: samoyed,30,2,20
samoyed_174_am.jpg,Dog: samoyed,30,2,20
havanese_11.jpg,Dog: havanese,17,2,11
german_shorthaired_15.jpg,Dog: german shorthaired,15,2,9
german_shorthaired_15_am.jpg,Dog: german shorthaired,15,2,9
pomeranian_188.jpg,Dog: pomeranian,25,2,17
great_pyrenees_144.jpg,Dog: great pyrenees,16,2,10
great_pyrenees_131.jpg,Dog: great pyrenees,16,2,10
Maine_Coon_151.jpg,Cat: maine coon,21,1,7
yorkshire_terrier_4.jpg,Dog: yorkshire terrier,37,2,25
yorkshire_terrier_4_am.jpg,Dog: yorkshire terrier,37,2,25
keeshond_81.jpg,Dog: keeshond,19,2,13
keeshond_81_am.jpg,Dog: keeshond,19,2,13
scottish_terrier_68.jpg,Dog: scottish terrier,31,2,21
scottish_terrier_68_am.jpg,Dog: scottish terrier,31,2,21
beagle_46.jpg,Dog: beagle,5,2,4
english_cocker_spaniel_131_am.jpg,Dog: english cocker spaniel,13,2,7
British_Shorthair_103.jpg,Cat: british shorthair,10,1,5
British_Shorthair_103_am.jpg,Cat: british shorthair,10,1,5
english_cocker_spaniel_165.jpg,Dog: english cocker spaniel,13,2,7
Sphynx_211.jpg,Cat: sphynx,34,1,12
Sphynx_211_am.jpg,Cat: sphynx,34,1,12
pug_36.jpg,Dog: pug,26,2,18
pug_36_am.jpg,Dog: pug,26,2,18
english_cocker_spaniel_136.jpg,Dog: english cocker spaniel,13,2,7
english_cocker_spaniel_136_am.jpg,Dog: english cocker spaniel,13,2,7
saint_bernard_15.jpg,Dog: saint bernard,29,2,19
Sphynx_165.jpg,Cat: sphynx,34,1,12
Sphynx_165_am.jpg,Cat: sphynx,34,1,12
beagle_35.jpg,Dog: beagle,5,2,4
beagle_35_am.jpg,Dog: beagle,5,2,4
samoyed_1.jpg,Dog: samoyed,30,2,20
samoyed_1_am.jpg,Dog: samoyed,30,2,20
havanese_158.jpg,Dog: havanese,17,2,11
Siamese_44.jpg,Cat: siamese,33,1,11
Bombay_18.jpg,Cat: bombay,8,1,4
Bombay_18_am.jpg,Cat: bombay,8,1,4
pug_42.jpg,Dog: pug,26,2,18
pug_42_am.jpg,Dog: pug,26,2,18
Abyssinian_170.jpg,Cat: abyssinian,1,1,1
Abyssinian_170_am.jpg,Cat: abyssinian,1,1,1
yorkshire_terrier_79.jpg,Dog: yorkshire terrier,37,2,25
yorkshire_terrier_79_am.jpg,Dog: yorkshire terrier,37,2,25
pomeranian_181.jpg,Dog: pomeranian,25,2,17
pomeranian_181_am.jpg,Dog: pomeranian,25,2,17
Egyptian_Mau_123.jpg,Cat: egyptian mau,12,1,6
Egyptian_Mau_123_am.jpg,Cat: egyptian mau,12,1,6
havanese_8.jpg,Dog: havanese,17,2,11
havanese_8_am.jpg,Dog: havanese,17,2,11
english_cocker_spaniel_200_am.jpg,Dog: english cocker spaniel,13,2,7
chihuahua_102.jpg,Dog: chihuahua,11,2,6
British_Shorthair_92.jpg,Cat: british shorthair,10,1,5
British_Shorthair_92_am.jpg,Cat: british shorthair,10,1,5
japanese_chin_198.jpg,Dog: japanese chin,18,2,12
japanese_chin_198_am.jpg,Dog: japanese chin,18,2,12
shiba_inu_37.jpg,Dog: shiba inu,32,2,22
shiba_inu_37_am.jpg,Dog: shiba inu,32,2,22
yorkshire_terrier_196.jpg,Dog: yorkshire terrier,37,2,25
basset_hound_36.jpg,Dog: basset hound,4,2,3
basset_hound_36_am.jpg,Dog: basset hound,4,2,3
japanese_chin_33.jpg,Dog: japanese chin,18,2,12
japanese_chin_33_am.jpg,Dog: japanese chin,18,2,12
american_bulldog_71.jpg,Dog: american bulldog,2,2,1
american_bulldog_71_am.jpg,Dog: american bulldog,2,2,1
newfoundland_36.jpg,Dog: newfoundland,23,2,16
Birman_114.jpg,Cat: birman,7,1,3
Birman_114_am.jpg,Cat: birman,7,1,3
miniature_pinscher_184.jpg,Dog: miniature pinscher,22,2,15
miniature_pinscher_184_am.jpg,Dog: miniature pinscher,22,2,15
english_setter_50.jpg,Dog: english setter,14,2,8
Maine_Coon_67.jpg,Cat: maine coon,21,1,7
Maine_Coon_67_am.jpg,Cat: maine coon,21,1,7
wheaten_terrier_126.jpg,Dog: wheaten terrier,36,2,24
wheaten_terrier_126_am.jpg,Dog: wheaten terrier,36,2,24
scottish_terrier_173.jpg,Dog: scottish terrier,31,2,21
scottish_terrier_173_am.jpg,Dog: scottish terrier,31,2,21
miniature_pinscher_27.jpg,Dog: miniature pinscher,22,2,15
miniature_pinscher_27_am.jpg,Dog: miniature pinscher,22,2,15
samoyed_110.jpg,Dog: samoyed,30,2,20
Sphynx_89.jpg,Cat: sphynx,34,1,12
Sphynx_89_am.jpg,Cat: sphynx,34,1,12
yorkshire_terrier_49.jpg,Dog: yorkshire terrier,37,2,25
yorkshire_terrier_49_am.jpg,Dog: yorkshire terrier,37,2,25
leonberger_41.jpg,Dog: leonberger,20,2,14
chihuahua_190.jpg,Dog: chihuahua,11,2,6
chihuahua_190_am.jpg,Dog: chihuahua,11,2,6
staffordshire_bull_terrier_44.jpg,Dog: staffordshire bull terrier,35,2,23
staffordshire_bull_terrier_44_am.jpg,Dog: staffordshire bull terrier,35,2,23
leonberger_168_am.jpg,Dog: leonberger,20,2,14
english_setter_83.jpg,Dog: english setter,14,2,8
english_setter_83_am.jpg,Dog: english setter,14,2,8
Egyptian_Mau_50.jpg,Cat: egyptian mau,12,1,6
Egyptian_Mau_50_am.jpg,Cat: egyptian mau,12,1,6
german_shorthaired_66.jpg,Dog: german shorthaired,15,2,9
german_shorthaired_66_am.jpg,Dog: german shorthaired,15,2,9
keeshond_114.jpg,Dog: keeshond,19,2,13
chihuahua_46.jpg,Dog: chihuahua,11,2,6
chihuahua_46_am.jpg,Dog: chihuahua,11,2,6
havanese_184.jpg,Dog: havanese,17,2,11
havanese_184_am.jpg,Dog: havanese,17,2,11
english_cocker_spaniel_141.jpg,Dog: english cocker spaniel,13,2,7
