,Image file,Pet,Class id,Species id,Breed id
0,saint_bernard_188.jpg,Dog: saint bernard,29,2,19
1,chihuahua_75.jpg,Dog: chihuahua,11,2,6
2,chihuahua_75_am.jpg,Dog: chihuahua,11,2,6
3,american_bulldog_60.jpg,Dog: american bulldog,2,2,1
4,american_bulldog_60_am.jpg,Dog: american bulldog,2,2,1
5,Siamese_9.jpg,Cat: siamese,33,1,11
6,Siamese_9_am.jpg,Cat: siamese,33,1,11
7,saint_bernard_122.jpg,Dog: saint bernard,29,2,19
8,saint_bernard_122_am.jpg,Dog: saint bernard,29,2,19
9,Bombay_95.jpg,Cat: bombay,8,1,4
10,Bombay_95_am.jpg,Cat: bombay,8,1,4
11,Bengal_167.jpg,Cat: bengal,6,1,2
12,Bengal_167_am.jpg,Cat: bengal,6,1,2
13,Birman_95.jpg,Cat: birman,7,1,3
14,Birman_95_am.jpg,Cat: birman,7,1,3
15,beagle_83.jpg,Dog: beagle,5,2,4
16,beagle_83_am.jpg,Dog: beagle,5,2,4
17,english_cocker_spaniel_198.jpg,Dog: english cocker spaniel,13,2,7
18,Siamese_250.jpg,Cat: siamese,33,1,11
19,Siamese_250_am.jpg,Cat: siamese,33,1,11
20,Bombay_3_am.jpg,Cat: bombay,8,1,4
21,boxer_52.jpg,Dog: boxer,9,2,5
22,miniature_pinscher_16.jpg,Dog: miniature pinscher,22,2,15
23,japanese_chin_175.jpg,Dog: japanese chin,18,2,12
24,japanese_chin_175_am.jpg,Dog: japanese chin,18,2,12
25,pug_171.jpg,Dog: pug,26,2,18
26,pug_171_am.jpg,Dog: pug,26,2,18
27,samoyed_174_am.jpg,Dog: samoyed,30,2,20
28,havanese_11.jpg,Dog: havanese,17,2,11
29,german_shorthaired_15.jpg,Dog: german shorthaired,15,2,9
30,german_shorthaired_15_am.jpg,Dog: german shorthaired,15,2,9
31,pomeranian_188.jpg,Dog: pomeranian,25,2,17
32,pomeranian_188_am.jpg,Dog: pomeranian,25,2,17
33,great_pyrenees_144.jpg,Dog: great pyrenees,16,2,10
34,great_pyrenees_144_am.jpg,Dog: great pyrenees,16,2,10
35,Maine_Coon_151_am.jpg,Cat: maine coon,21,1,7
36,yorkshire_terrier_4.jpg,Dog: yorkshire terrier,37,2,25
37,yorkshire_terrier_4_am.jpg,Dog: yorkshire terrier,37,2,25
38,keeshond_81.jpg,Dog: keeshond,19,2,13
39,keeshond_81_am.jpg,Dog: keeshond,19,2,13
40,scottish_terrier_68.jpg,Dog: scottish terrier,31,2,21
41,scottish_terrier_68_am.jpg,Dog: scottish terrier,31,2,21
42,beagle_46_am.jpg,Dog: beagle,5,2,4
43,english_cocker_spaniel_131.jpg,Dog: english cocker spaniel,13,2,7
44,english_cocker_spaniel_131_am.jpg,Dog: english cocker spaniel,13,2,7
45,British_Shorthair_103.jpg,Cat: british shorthair,10,1,5
46,British_Shorthair_103_am.jpg,Cat: british shorthair,10,1,5
47,english_cocker_spaniel_165.jpg,Dog: english cocker spaniel,13,2,7
48,english_cocker_spaniel_165_am.jpg,Dog: english cocker spaniel,13,2,7
49,Sphynx_211_am.jpg,Cat: sphynx,34,1,12
50,pug_36_am.jpg,Dog: pug,26,2,18
51,english_cocker_spaniel_136.jpg,Dog: english cocker spaniel,13,2,7
52,english_cocker_spaniel_136_am.jpg,Dog: english cocker spaniel,13,2,7
53,saint_bernard_15.jpg,Dog: saint bernard,29,2,19
54,saint_bernard_15_am.jpg,Dog: saint bernard,29,2,19
55,Sphynx_165.jpg,Cat: sphynx,34,1,12
56,Sphynx_165_am.jpg,Cat: sphynx,34,1,12
57,beagle_35.jpg,Dog: beagle,5,2,4
58,beagle_35_am.jpg,Dog: beagle,5,2,4
59,samoyed_1_am.jpg,Dog: samoyed,30,2,20
60,havanese_158_am.jpg,Dog: havanese,17,2,11
61,Siamese_44.jpg,Cat: siamese,33,1,11
62,Siamese_44_am.jpg,Cat: siamese,33,1,11
63,Bombay_18.jpg,Cat: bombay,8,1,4
64,Bombay_18_am.jpg,Cat: bombay,8,1,4
65,pug_42.jpg,Dog: pug,26,2,18
66,Abyssinian_170.jpg,Cat: abyssinian,1,1,1
67,Abyssinian_170_am.jpg,Cat: abyssinian,1,1,1
68,yorkshire_terrier_79.jpg,Dog: yorkshire terrier,37,2,25
69,yorkshire_terrier_79_am.jpg,Dog: yorkshire terrier,37,2,25
70,pomeranian_181.jpg,Dog: pomeranian,25,2,17
71,pomeranian_181_am.jpg,Dog: pomeranian,25,2,17
72,Egyptian_Mau_123.jpg,Cat: egyptian mau,12,1,6
73,Egyptian_Mau_123_am.jpg,Cat: egyptian mau,12,1,6
74,havanese_8.jpg,Dog: havanese,17,2,11
75,havanese_8_am.jpg,Dog: havanese,17,2,11
76,english_cocker_spaniel_200.jpg,Dog: english cocker spaniel,13,2,7
77,chihuahua_102.jpg,Dog: chihuahua,11,2,6
78,chihuahua_102_am.jpg,Dog: chihuahua,11,2,6
79,British_Shorthair_92.jpg,Cat: british shorthair,10,1,5
80,British_Shorthair_92_am.jpg,Cat: british shorthair,10,1,5
81,japanese_chin_198.jpg,Dog: japanese chin,18,2,12
82,japanese_chin_198_am.jpg,Dog: japanese chin,18,2,12
83,shiba_inu_37.jpg,Dog: shiba inu,32,2,22
84,shiba_inu_37_am.jpg,Dog: shiba inu,32,2,22
85,basset_hound_36.jpg,Dog: basset hound,4,2,3
86,japanese_chin_33_am.jpg,Dog: japanese chin,18,2,12
87,american_bulldog_71.jpg,Dog: american bulldog,2,2,1
88,american_bulldog_71_am.jpg,Dog: american bulldog,2,2,1
89,newfoundland_36.jpg,Dog: newfoundland,23,2,16
90,Birman_114.jpg,Cat: birman,7,1,3
